Gm#▲,Date,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,Thursday Mar 29,STL,@,NYM,L,4,9,,0-1,5,1.0,Syndergaard,Martinez,,3:01,D,44189,-
2,Saturday Mar 31,STL,@,NYM,L,2,6,,0-2,4,2.5,deGrom,Wacha,Familia,3:22,D,36098,--
3,Sunday Apr 1,STL,@,NYM,W,5,1,,1-2,4,2.0,Weaver,Matz,,3:15,D,22486,+
4,Monday Apr 2,STL,@,MIL,W,8,4,,2-2,3,2.0,Mikolas,Davies,,2:59,D,45393,++
5,Tuesday Apr 3,STL,@,MIL,L-wo,4,5,,2-3,3,2.5,Jennings,Leone,,3:11,N,27760,-
6,Wednesday Apr 4,STL,@,MIL,W,6,0,,3-3,3,1.5,Martinez,Chacin,,2:48,N,27674,+
7,Thursday Apr 5,STL,,ARI,L,1,3,,3-4,4,2.5,Ray,Wainwright,Boxberger,3:32,N,46512,-
8,Saturday Apr 7,STL,,ARI,W,5,3,,4-4,3,2.0,Wacha,Greinke,Norris,2:58,D,41113,+
9,Sunday Apr 8,STL,,ARI,L,1,4,,4-5,4,3.0,Hirano,Leone,Boxberger,2:53,D,40468,-
10,Monday Apr 9,STL,,MIL,L,4,5,10,4-6,4,3.5,Albers,Holland,,3:41,N,35189,--
11,Tuesday Apr 10,STL,,MIL,W-wo,5,3,11,5-6,4,3.5,Leone,Hoover,,4:02,N,35220,+
12,Wednesday Apr 11,STL,,MIL,L,2,3,,5-7,4,3.5,Guerra,Wainwright,Albers,3:00,D,35814,-
13,Thursday Apr 12,STL,@,CIN,W,13,4,,6-7,4,3.5,Wacha,Brice,Mayers,3:32,N,11128,+
14,Friday Apr 13,STL,@,CIN,W,5,3,,7-7,2,2.5,Weaver,Mahle,Norris,3:05,N,19561,++
15,Saturday Apr 14,STL,@,CIN,W,6,1,,8-7,2,2.5,Mikolas,Finnegan,,2:43,D,19213,+++
16,Sunday Apr 15,STL,@,CIN,W,3,2,,9-7,2,2.5,Martinez,Bailey,Norris,2:40,D,15557,++++
17,Tuesday Apr 17,STL,@,CHC,W,5,3,,10-7,2,1.0,Wainwright,Chatwood,Norris,3:33,N,35103,+++++
18,Thursday Apr 19,STL,@,CHC,L,5,8,,10-8,2,1.5,Lester,Weaver,Morrow,3:10,D,29648,-
19,Friday Apr 20,STL,,CIN,W,4,2,,11-8,2,0.5,Wacha,Finnegan,Norris,3:02,N,43303,+
20,Saturday Apr 21,STL,,CIN,W,4,3,,12-8,1,Tied,Hicks,Hughes,,2:57,D,42382,++
21,Sunday Apr 22,STL,,CIN,W,9,2,,13-8,1,Tied,Mikolas,Castillo,,2:37,D,44430,+++
22,Tuesday Apr 24,STL,,NYM,L,5,6,10,13-9,2,1.0,Gsellman,Bowman,Familia,3:28,N,36237,-
23,Wednesday Apr 25,STL,,NYM,W,9,1,,14-9,2,1.0,Wacha,Matz,Brebbia,2:47,N,38045,+
24,Thursday Apr 26,STL,,NYM,W-wo,4,3,13,15-9,1,Tied,Gant,Sewald,,4:11,D,37762,++
25,Friday Apr 27,STL,@,PIT,L-wo,5,6,11,15-10,1,Tied,Kontos,Hicks,,3:34,N,15748,-
26,Saturday Apr 28,STL,@,PIT,L,2,6,,15-11,2,0.5,Williams,Flaherty,,3:14,N,18568,--
27,Sunday Apr 29,STL,@,PIT,L,0,5,,15-12,3,1.5,Kingham,Weaver,,2:51,D,14378,---
